          Elapsed time          Liquid rate
                 (hr)              (STB/D)
  194.5167177778494 -19850.61584381389
  194.6000511112798 -20129.69792820791
  194.6833844446228 -20280.78008219073
  194.7667177778785 -20360.80261054143
  194.8500511112216 -20404.86942593608
  194.9333844445646 -20404.87463156319
  195.0167177779076 -20001.47579516151
  195.1000511112507 -19780.40033661909
  195.1833844445064 -19658.49714669323
  195.2667177778494 -19593.41759614329
  195.3500511112798 -19695.32492035745
  195.4333844446228 -20035.62517921147
  195.5167177778785 -20223.76992128959
  195.6000511112216 -20326.45021910103
  195.6833844445646 -20389.14078706596
  195.7667177779076 -20398.93221534312
  195.8500511112507 -20368.22030484903
  195.9333844445064 -19975.56311608401
  196.0167177778494 -19791.24194798291
  196.1000511112798 -19659.95383626638
  196.1833844446228 -19589.72816689545
  196.2667177778785 -19763.6380820764
  196.3500511112216 -20070.76634696503
  196.4333844445646 -20236.89945849099
  196.5167177779076 -20329.99499140224
  196.6000511112507 -20387.57295464522
  196.6833844445064 -20398.66077989021
  196.7667177778494 -20408.90367475669
  196.8500511112798 -20279.49539555302
  196.9333844446228 -19922.83176905385
  197.0167177778785 -19725.0946817918
  197.1000511112216 -19615.46109482714
  197.1833844445646 -19613.49513389382
  197.2667177779076 -19982.1893224667
  197.3500511112507 -20183.30540838468
  197.4333844445064 -20297.30825641376
  197.5167177778494 -20365.68169319417
  197.6000511112798 -20381.32903633593
  197.7667177779658 -20395.37213400332
  197.9333844445646 -20407.77065071768
  197.9800748056441 -20410.29245138569
  198.0217414723593 -20410.59650153419
  198.1000511112507 -20144.81977151784
  198.1833844445064 -19842.60546489983
  198.2667177778494 -19677.55373030598
  198.3500511112798 -19587.59154509057
  198.4333844446228 -19729.17755692154
  198.5167177778785 -20040.84020667532
  198.6000511112216 -20211.41659178846
  198.6833844445646 -20307.7457774786
  198.7667177779076 -20366.45233464999
  198.8500511112507 -20380.21886857991
  199.8917177779076 -20392.24032042482
  201.9333844445937 -20381.86805953257
  203.8500511112216 -20372.50755701294
  205.3500511112216 -20362.31268809652
  206.6000511111924 -20352.13498222434
  207.7667177778203 -20341.92993210524
  208.8083844445646 -20331.74295069522
  209.7667177778785 -20320.96612518603
  210.6417177778494 -20310.06025504505
  211.4750511112798 -20299.72426223501
  212.3500511112507 -20289.58188234786
  213.3917177778203 -20279.39352266893
  214.8500511111924 -20268.89267489973
  216.7667177779076 -20258.6096191938
  218.6000511112798 -20248.89416547648
  219.8917177779658 -20238.32063050181
  220.7667177779367 -20227.99443774278
  221.5583844445646 -20216.79512480602
  222.6000511112216 -20206.3994113504
  223.9333844446228 -20196.10669980004
  225.3917177779949 -20185.76962901122
  226.8917177779949 -20175.33064258016
  228.3917177779949 -20164.98906255855
  229.8917177779949 -20154.94254148732
  231.3083844445646 -20144.6264468459
  232.6000511111633 -20134.22469666284
  233.8500511112216 -20123.63528679821
  235.2250511112507 -20113.54719713061
  236.7667177778785 -20103.13000141789
  238.2667177778785 -20092.80728869257
  239.6833844446228 -20082.68148239048
  241.1417177779949 -20072.15649074574
  242.7667177779658 -20062.02924850851
  244.4750511112798 -20051.59549467992
  246.0583844446228 -20041.27897314546
  247.5167177779076 -20030.85458354546
  248.8917177778494 -20020.25297738309
  250.2667177778785 -20010.18230981242
  251.7667177778785 -20000.01548761379
  253.3917177778494 -19989.61840237478
  255.1417177778785 -19979.58312261712
  256.9750511112507 -19969.41767963297
  258.7250511112798 -19959.12890886634
  260.4750511113089 -19949.03935623234
  262.3917177779367 -19939.03259569045
  264.1833844445064 -19928.92065913123
  265.6417177778785 -19918.52866506733
  267.1000511112507 -19908.48869076821
  268.9333844445355 -19898.29554431043
  271.0167177778494 -19889.70705147917
  273.1000511112507 -19881.13138573563
  275.1833844445646 -19870.90189200935
  277.2250511111633 -19860.77853390595
  279.1833844445937 -19850.48287831802
  281.0167177779658 -19840.43791020097
  282.6417177779367 -19830.12940947238
  284.1833844445646 -19820.02558757686
  285.9750511112216 -19809.66375566868
  287.8083844445937 -19799.40417076664
  288.7250511112798 -19788.20187309105
  288.8500511112507 -19776.37300238455
  288.9333844445064 -19760.30006677357
  289.0583844445646 -19744.37286742973
  290.0583844445937 -19732.77378443514
  291.6833844445646 -19722.71674108226
  292.6000511112507 -19734.5430239175
  293.8500511112216 -19746.09413971504
  295.9333844445355 -19746.81702953242
  298.0167177778494 -19740.15095750634
  299.7250511112507 -19730.82719061715
  300.6833844445646 -19720.74256884541
  301.0167177778494 -19715.85196822531
  301.1000511112798 -19525.47521473909
  301.1833844446228 -19590.36780021392
  301.2667177778785 -19538.70620674384
  301.3500511112216 -19582.12687305331
  301.8500511112798 -19628.19465124772
  303.0167177779076 -19617.59576732556
  304.2250511111633 -19606.97634089658
  305.1417177778494 -19596.93706499963
  305.6000511112798 -19587.45542924986
  305.6833844446228 -19866.4967963327
  305.7667177778785 -20106.88119441489
  305.8500511112216 -20237.08967192048
  305.9333844445646 -20311.06750694991
  306.0583844445355 -20354.0476974145
  306.8917177778785 -20372.28587074506
  308.3500511112507 -20361.7427929081
  309.7667177779076 -20351.63455746795
  311.0583844445937 -20341.38216002633
  312.1833844445937 -20330.92565826013
  313.3083844445937 -20320.72881961053
  314.4750511113089 -20310.06513323583
  315.6833844445646 -20299.97954619424
  316.9333844445355 -20289.51263100973
  318.1417177778785 -20278.94292942849
  319.3500511112216 -20268.91826343634
  320.6417177779076 -20258.41536164437
  322.0583844445646 -20248.0585833488
  323.6417177779076 -20237.67908935936
  325.3083844445937 -20227.32091628009
  326.9333844445646 -20217.31663405492
  328.4333844445646 -20206.95179491031
  329.8500511112216 -20196.61891039716
  331.2667177778785 -20186.03294053244
  332.7250511112507 -20175.89670094795
  334.1833844446228 -20165.45468518406
  335.5583844445646 -20155.25442358612
  336.9333844445064 -20145.24767669787
  338.3917177778785 -20134.72578182317
  339.9333844445064 -20124.26932264874
  341.4750511111342 -20113.77224804263
  342.9750511111342 -20103.74175002412
  344.4333844445064 -20093.29977380541
  345.9333844445064 -20083.27431013656
  347.6417177778203 -20072.81767806501
  349.4750511111924 -20062.37343614448
  351.1417177778785 -20052.00841127907
  352.5167177779076 -20041.77559255288
  353.7250511112507 -20031.71534599331
  354.9333844445937 -20021.60484959344
  356.2667177779076 -20011.00004917347
  357.6000511112216 -20000.72089705194
  358.7250511112216 -19990.63518560592
  359.3083844445355 -19975.33800258128
  359.4333844445064 -19960.79022759821
  359.5167177778494 -19956.09374025528
  359.6000511112798 -19893.75564362539
  359.6833844446228 -19877.81767890057
  359.8083844445937 -19862.60706051772
  360.1000511112507 -19850.15308615132
  361.3500511112216 -19839.00098457033
  363.4333844445355 -19829.12075900584
  365.3917177778785 -19819.4719354426
  367.1833844445355 -19809.08173807366
  368.9750511111924 -19798.91392003287
  370.8500511111924 -19788.86573518013
  372.6833844445646 -19778.57945307031
  374.3500511112507 -19768.34759312919
  375.9333844445064 -19758.08281045385
  377.5583844445646 -19747.65729756005
  379.1833844446228 -19737.13694843312
  380.7250511112507 -19726.92621465892
  382.2667177778785 -19716.71285369276
  384.0583844445355 -19706.63577133117
  386.1000511112216 -19696.53891522675
  388.1833844445355 -19686.98092383469
  390.2667177778494 -19676.94855144823
  392.3500511112507 -19667.56148591521
  394.3083844445937 -19659.20101004034
  395.8500511112216 -19648.76190973066
  396.4900023977389 -19641.84124507142
  396.5083550001145 -19641.8430661069
  405.3250216668821 0
  405.450273611059 -1538.978874567194
  405.533606944402 -2601.075640717681
  405.6169402778323 -3178.427694300119
  405.7002736111754 -3495.455733699162
  405.7836069444311 -3718.448569732544
  405.8669402777741 -4266.954754331318
  405.9502736111172 -4701.875361277002
  406.0336069444602 -5147.913887982571
  406.1169402778032 -5764.824083160579
  406.200273611059 -6349.736699031444
  406.283606944402 -7200.195752483948
  406.3669402778323 -8007.561299877715
  406.4502736111754 -8802.291646607193
  406.5336069444311 -9593.272829109292
  406.6169402777741 -10351.15211578385
  406.7002736111172 -11201.89809394888
  406.7836069444602 -11960.30739630346
  406.8669402778032 -12723.93733509125
  406.950273611059 -13477.90976008365
  407.033606944402 -14295.48457962343
  407.1169402778323 -15052.14456416985
  407.2002736111754 -15785.95734155411
  407.2836069444311 -16546.89283266848
  407.3669402777741 -17174.30741492056
  407.4502736111172 -17984.87878736742
  407.5336069444602 -18704.72196650356
  407.6169402778032 -19442.97566758812
  407.7419402777741 -19502.98753970417
  407.8669402778323 -19509.01444611204
  407.9502736111754 -19567.38993158692
  408.0336069444311 -19577.02273234005
  408.1169402777741 -19674.18698395277
  408.4919402777741 -19727.75103711655
  408.908606944402 -19713.03887145999
  409.0752736110881 -19697.5551313323
  409.2419402777741 -19681.15411121721
  409.4086069444602 -19665.37290008789
  409.5752736111463 -19649.83594255785
  409.7836069444602 -19636.32980408006
  409.9919402777741 -19621.99794119216
  410.1586069444602 -19609.97433046675
  410.3252736111463 -19595.41073793485
  410.5336069444602 -19583.81511072117
  410.700273611059 -19565.89464692389
  410.783606944402 -19558.03687561144
  410.8669402778323 -19720.76154391547
  410.9502736111754 -19996.57962466569
  411.0336069444311 -20150.01631520191
  411.1169402777741 -20234.84280505798
  411.5752736111172 -20289.72947884501
  412.0752736110881 -20278.02779932934
  412.2419402777741 -20265.77063827881
  412.4086069444602 -20251.28516859935
  412.6586069444893 -20240.41966247201
